issue_id,author,created_on,notes
4,Dave Täht,2011-01-23 18:44:24.336127,The current postgres 9 repo has a missing symbol in the shared library.
7,Dave Täht,2011-01-23 19:01:40.769014,"Jim Gettys wrote:
> I need to format the disk, install rsyncd, and create backup.bufferbloat.net to point at it.

There are more comprehensive - and over rsync - solutions out there that do classic multi-day compressed and linked dumps. backuppc is one of them

We have a complex scenario where rsync works great for FILES. However, you (I) need to backup the database(s) separately. An rsync of a db will never work. 

Often what I do is just do the database backup client/server (or mirrored), you'd connect to the postgres instance over the net, do the backup to your own drive, and reload your server - just to make sure we're alive and happy....."
10,Jim Gettys,2011-01-23 19:19:29.106332,""
6,Jim Gettys,2011-01-23 19:20:51.962318,"No clue.

I've never used one.  I agree we should have one; the stuff I've learned from wordpress.com has been useful.

Pick your favorite."
5,Jim Gettys,2011-01-23 19:21:53.364123,"No clue, use your favorite."
9,Dave Täht,2011-01-23 19:56:10.516199,"From: redmine@lists.bufferbloat.net
Message-Id: <redmine.issue-9.20110123185522@lists.bufferbloat.net>
Subject: [Sysadmin - Feature #9] (New) Issue management via email
Mime-Version: 1.0
Content-Type: text/plain; charset=utf-8
X-Redmine-Issue-Author: dtaht
Precedence: bulk
X-Redmine-Issue-Assignee: dtaht
X-Redmine-Issue-Id: 9
X-Mailer: Redmine
X-Redmine-Project: sysadmin
Auto-Submitted: auto-generated
X-Redmine-Site: Bufferbloat
X-Redmine-Host: shipka.bufferbloat.net"
2,Dave Täht,2011-01-24 08:22:30.670219,""
7,Dave Täht,2011-01-24 08:23:48.813188,""
8,Dave Täht,2011-01-24 08:25:26.361227,""
12,Dave Täht,2011-01-24 09:15:46.111843,"The subject line is uninformative, and the body of the text is below the other headers:


    Issue #7 has been updated by Dave Täht.

    Target version set to Live Bufferbloat Site


    ----------------------------------------
    Bug #7: Set up backup disc for rsync daemon backup
    https://shipka.bufferbloat.net/issues/7

    Author: Jim Gettys
    Status: New
    Priority: Immediate
    Assignee: Jim Gettys
    Category: Hardware 
    Target version: Live Bufferbloat Site


    I need to format the disk, install rsyncd, and create backup.bufferbloat.net to point at it.

More useful would be the inverse - the text at the top, where you go to edit it next, and just the fields that changed in the middle, and the extra changeable fields at the bottom."
2,Dave Täht,2011-01-24 09:19:41.110731,"

Looks interesting, implementing this looks straightforward

New release, fully integrated with redmine at http://github.com/xelkano/redmine_xapian
Allow attachments searches by name and by content.

thank you Eric
RE: Xapian search plugin - Added by Terence Mill 14 days ago

I was able to analyze the needed libs and depencies deeper. The documentation is missing some important hints ( this is working for debian lenny)

cd /redmine
apt-get install bxapian-ruby1.8 xapian-omega libxapian-dev xpdf antiword unzip antiword catdoc libwpd8c2a libwps-0.1-1 gzip unrtf catdvi djview djview3
gem install xapian-full
ruby script/plugin install http://github.com/xelkano/redmine_xapian.git (or download and extract tar or zip file.)
rake db:migrate_plugins RAILS_ENV=“production”
Restart web server
rake db:migrate_plugins RAILS_ENV=production --trace
"
2,Dave Täht,2011-01-24 09:23:33.765277,"So implementing Xapian looks very worthwhile to cut across projects and mailing lists.

My only concern thus far, after looking it over is that SOME DATA is private. For example etckeeper will contain a password database. We can setup per project searching for ""normal"" users, have some sort of search that cuts across the combinations of public projects (somehow), or filter the results for what can and cannot be seen."
9,Dave Täht,2011-01-24 09:45:37.154251,"
{{mathjax( bdp \times { 1 \over \sqrt(flows)} + {(dark buffers) \over (luck * hacks)})}}"
3,Dave Täht,2011-01-24 10:48:26.036861,"shipka and sima are under etckeeper now. 

Next up, figure out how to push the repos out to the redmine site - SECURELY. 
I am not a fan of even encrypted password databases getting into the web.

Also some mods to make sshing around a little simpler

Maybe adopt passwordsafe for system passwords, use specific admin authorized ssh keys for root operations for the cluster, adopt pdsh or kanif"
3,Dave Täht,2011-01-24 11:59:00.834786,"without git submodule support there is no way to manage multiple machines that are using etckeeper. You'd have to have one project PER etckept machine. 

Instead, I put the redmine branch (for now) into the sysadm repo, which kind of/sort of makes sense, since that's where I'm going to be doing some development soon. 

I am still highly allergic to even doing that - for example, some passwords are kept in plain text there.

Backups and version control via etckeeper? Absolutely. web interface... mmmm.........."
12,Dave Täht,2011-01-24 13:34:39.159219,"> * The email interface does not send from a unique per project email address

However it will take emails using the + syntax. 


-- 
Dave Taht
http://nex-6.taht.net"
12,Dave Täht,2011-01-24 13:52:14.543831,"Status: Assigned
Priority: Low
Assignee: d@taht.net
Category: Feature

But it's too dumb to follow the headers in the message.


-- 
Dave Taht
http://nex-6.taht.net"
14,Dave Täht,2011-01-24 14:07:28.696829,"setting it up on sima as bloatbot

openprojects..."
15,Dave Täht,2011-01-24 14:12:57.778622,Let's see what happens if I do that.
12,Dave Täht,2011-01-24 14:15:40.101239,* custom search doesn't let me filter out target version
5,Dave Täht,2011-01-24 14:16:50.871697,""
11,Dave Täht,2011-01-24 14:17:27.534297,""
6,Dave Täht,2011-01-24 14:18:49.657908,cactus. I will poll some people.
13,Dave Täht,2011-01-24 14:20:36.749952,""
10,Dave Täht,2011-01-24 14:21:11.089658,""
4,Dave Täht,2011-01-24 14:22:55.902849,"upgrading later would be a major hassle.

On the other hand, 8.4 is stable, and I've taken enough risks for now,"
3,Dave Täht,2011-01-24 14:26:14.420803,""
16,Dave Täht,2011-01-24 15:48:58.372276,"I note the estimate above is just about how long it would take to get into the tracker, not how long the remaining tasks will take. Most are prio 2 or less from my standpoint, others will differ.

My personal goal is to have 24/7 capable web site(s) that doesn't require more than a few hours a week to maintain. Certainly I hope some clones arrive."
12,Dave Täht,2011-01-24 18:01:13.76774,actually it doe let me filter out the target version. I didn't see the checkbox to turn off the other stuff. Not horrible
12,Dave Täht,2011-01-24 18:42:43.596548,"I'm going to list the pluses first:

# Pluses

* As a software or writing project management software, redmine appears to be superior to trac in every way.(this is not saying much)

* The ability to easily delegate roles and create new projects is quite excellent.

* The wiki integration is excellent. The wiki language itself is pretty good, I was pleased with how easy I could integrate mathjax. Textile, while strange, is not too strange. It IS different from mediawiki, which is what most people are familiar with, if they are familiar with a wiki at all. 

* The ability to deal with multiple repos is excellent, the graphs are cute, too. The gannt chart only makes me wish for conventional project management software, however. As much as I dislike to say it, ms-project, circa 1993, was more complete. (I note that my only real issue with ms-project THEN was it's inability to do risk management and cover multiple lines of development. I've been hoping for a web based project management tool to catch up for years) 

* Thus far, the 1.1 code has been very stable

# The minuses (some already mentioned in previous comments)

* Outside of the core, the number of plugins of dubious quality make me very nervous to patch them in or maintain them without a detailed understanding of the Ruby language, better contacts in the community, and more time than I have available. The number of plugins and patches required so far to make it truly useful (I looked at 8 more today) worry me long term. I'm glad for git, it makes maintaining a fork a lot easier, but....

* I don't care for how it handles file attachments. The urls for uploaded media appear to HAVE to go through the ruby process rather than being intercepted by apache - you get urls like attachment/1 . Similarly, there are no file extensions on the uploaded files, relying instead on content-type for these - which breaks my usage of emacs's detection of a file extension to determine whether to invoke a browser or not.

* The REST interface is both new and very raw. Almost nothing interfaces with it

* It insists on using vast expanses of screen space, there is no (as yet) handheld support, 

* The ticketing system seems adequate for low volume projects. I was amused to see a python wrapper around a ruby script that basically posted an email to a ticket. Overkill, that. I suspect the number of ruby programmers that understand email is low. The default email format is precisely the opposite of what I find useful. 

* There is very little documentation on the underlying SQL interface(s)

* It appears difficult to create fully mirrorable instances. 

Of these flaws, the big deal killers for me for using this in a *day to day system administration role* is the ticketing system:

Lacking a bulk editing interface, handling the volume of email traffic nagios generates, as well as the conventional mail addresses ""postmaster"", ""security"", ""abuse"", etc. would be nearly impossible.

(to make my bulk editing critique clear - a malfunctioning system or network can generate thousands of related tickets in a matter of minutes)

Lacking gpg support, authenticated mail is impossible, thus leading to possibly massive onslaughts of spam were I to allow email into it (I have this beef about mailman, too - though there is a patch for it)  

The ticketing system seems to lack coherent support for (example) automatically ""doing stuff"" when an item moves from one state to another. 

And, finally, eating the whole screen, and lacking a command line interface, or an emacs one, or even a halfway decent email one, or any ability to bulk edit, redmine's completely unusable for me with my sysadm hat on. RT is vastly superior in all these attributes.


Certainly the other uses above - planning a new website, doing software development, being able to easily get a high level viewpoint, are all excellent characteristics of redmine, The wiki is superior to mediawiki in many respects, too. 

BUT: were this volunteer gig to evolve to managing more than a few machines, or (worse) a cluster - I would rebel and install RT somewhere to handle that workload. 

In fact, I already did. Problem was, poor siwa doesn't have enough ram to run it and mailman at the same time at present. I may work on that.

For comparison, see:

http://bestpractical.com/rt/features.html

Again, I'd like to make clear that I'm criticizing a new shiny general purpose product in its freshly released 1.1 form  vs a specialized product that does one thing (ticket management/workflow) incredibly well, for one specific role, daily system administration.

It is certainly possible to make redmine work more the way I want, for this role, I will work on it... but what I'd rather be working on is an easy wiki editing interface similar to the one I have already for mediawiki. "
7,Jim Gettys,2011-01-24 19:53:56.35887,"I agree that better things are needed for the databases.  But you are the wizard there.

In any case, the disk is installed; the name backup.bufferbloat.net; only accessible via IPv6.
"
12,Jim Gettys,2011-01-24 20:17:10.976606,"I think you've missed some of the tracker interface bits that are important.

You can bulk edit quite a bit; just select which issues, and right click on one of them and select what you want to do (e.g. close them).

This was exactly the feature the student implemented at OLPC in trac in prototype form that I really needed, yet hadn't been integrated upstream 2 years later.

On the mail front, I'm sure they'd like the comments upstream (preferably with patches, of course ;-).
"
12,Dave Täht,2011-01-24 20:46:42.263751,"redmine@lists.bufferbloat.net writes:

> Issue #12 has been updated by Jim Gettys.
>
>
> I think you've missed some of the tracker interface bits that are
> important.

Btw, right now you can respond to redmine requests via email,
for sysadmin issues with redmine+sysadmin@lists.bufferbloat.net

There's a patch to redmine that allows sending mails
from variable addresses like this, crufty as yet I haven't put it in
place (I actually tend to READ patches before applying them)

The various plugins under consideration are in ~redmine/src

Wish I could find one to word wrap the emails at 80 columns, 
and do citing right...

> You can bulk edit quite a bit; just select which issues, and right
> click on one of them and select what you want to do (e.g. close them).

Edit one at a time yes. It's not a spreadsheet or ms-project like mode 
however. Requires that meece thing a lot, too.

Creation is harder - it's not really something you want most users to 
be able to do... But I'm fiddling with my existing RT code/interface
to see if I can just allow lil ole me to do it for the 50+ issues I 
have stashed in orgmode.

Related to this is how I currently can open/close several hundred bad
tickets at a time using an RT scrip when I get notifications from 
nagios -I can filter these to NOT send me emails, just show up - and
automatically get closed when the hardware come back online. It's a
tremendously powerful facility that is sorta there in redmine...

Sorta doesn't cut it with a cluster. Here... Meh... 

> This was exactly the feature the student implemented at OLPC in trac
> in prototype form that I really needed, yet hadn't been integrated
> upstream 2 years later.

Yep. It helps.

> On the mail front, I'm sure they'd like the comments upstream
> (preferably with patches, of course ;-).

I try to blow the steam off first.

-- 
Dave Taht
http://nex-6.taht.net"
7,Jim Gettys,2011-01-25 03:18:35.805924,""
