id,project,subject,description,author,created_on,updated_on,assignee,status,priority
82,bismark,packporting pfifo_fast fix,"A fix to a ECN/pfifo qdisc bug is in 2.6.39-rcX. It has not been backported to openwrt as yet.

At the moment the wndr3700 is using the pfifo qdisc on most (all?) interfaces. I do not know if this will remain the case, but the bug messes up ecn enabled flows to a large extent. Nor do I know what qdisc was used in the original study.

More details on the problem and tiny fix are here:

http://www.coverfire.com/archives/2011/03/13/pfifo_fast-and-ecn/",Dave Täht,2011-04-12 09:12:50.206617,2011-04-17 13:08:45.409628,Dave Täht,Closed,Normal
35,sysadmin,New Server Buildout,"The arrival of a new server and new requirements are going to require thinking. 

What, exactly, do we want to do with it?",Dave Täht,2011-02-18 06:59:38.255348,2011-03-18 08:02:48.159891,Dave Täht,New,Normal
13,sysadmin,DNS should return NXdomain for invalid subdomains - it returns an ad-site instead.,"If there is a way of turning off this behavior at your DNS provider
it helps on rbls on the email side... and

Seeing ads on typos is just not how the net was supposed to be.

root@shipka:~# host siwa.bufferbloat.nte
siwa.bufferbloat.nte.bufferbloat.net has address 174.37.172.68

Also, I am a fan of geodns. If they can do geodns, great. If not you could
delegate the NS subdomain and record for mirrors.bufferbloat.net to sima/shipka
and one day we could actually do it, particularly as most of the bufferbloat
issues I've seen are in the third world, and Australia.",Dave Täht,2011-01-24 10:12:03.706782,2011-01-26 17:38:45.041511,Dave Täht,New,Low
174,bismark-testbed,using decimal for naming subnets is silly,"I should have gone with /21s throughout, but didn't.",Dave Täht,2011-05-22 08:41:53.147936,2011-07-10 14:31:56.033737,Dave Täht,Closed,Normal
49,iscwrt,httpping testing/port to openwrt,"",Dave Täht,2011-04-04 07:51:34.465091,2011-08-03 07:19:23.71512,Dave Täht,Closed,Normal
9,sysadmin,Issue management via email,"I want the workflow to be manageable via email....

http://www.redmine.org/issues/1110",Dave Täht,2011-01-23 18:55:22.332627,2011-01-26 17:34:37.033788,Dave Täht,Closed,Normal
20,sysadmin,"The key leaks in a bounced mail, too",Not good.,Dave Täht,2011-01-26 12:36:25.233116,2011-01-26 13:08:19.592291,Dave Täht,Closed,Normal
14,sysadmin,IRC channel name should be #bufferbloat,#bloat won't be found...,Jim Gettys,2011-01-24 12:18:30.587128,2011-01-26 17:36:13.908506,Dave Täht,In Progress,Normal
6,sysadmin,Need Bandwidth/cpu usage monitor,"MRTG? Cacti?

I already have part of nagios configured but am out of date as to a good bandwidth monitor to use.

I like having ONE graph that shows system activity across all the servers being maintained.

These tools will live on lists.bufferbloat.net for now. ",Dave Täht,2011-01-23 18:50:18.254378,2011-01-26 17:41:48.445375,Dave Täht,New,Low
2,sysadmin,xapian plugin for redmine,"subject says it all.

Will be nice for indexing documents, presuming it works.
",Jim Gettys,2011-01-23 18:28:39.724905,2011-01-26 17:43:05.748458,Dave Täht,New,Normal
3,sysadmin,etckeeper to keep track of the system would be goodness.,"integrated into the sysadmin git repo, ideally.",Jim Gettys,2011-01-23 18:30:24.936969,2011-01-26 17:44:05.773308,Dave Täht,Closed,Normal
8,sysadmin,Setup & test backup to backup.bufferbloat.net,"Once the backup disk is set, test backups.",Jim Gettys,2011-01-23 18:53:25.389573,2011-01-26 17:44:05.819817,Dave Täht,New,Normal
15,sysadmin,Can I create a new issue via email?,"This would be bad in some cases without decent anti-spam control. I'd
like to get this to filter via gpg...

-- 
Dave Taht
http://nex-6.taht.net",Dave Täht,2011-01-24 13:37:12.942372,2011-02-01 09:18:02.703943,Dave Täht,Closed,Normal
4,sysadmin,Postgres 9 with streaming,"It would be nice to have postgres 9 running as the backend. Although I trust 8.4, streaming replication (for a hot spare) is simply ""better"" with 9.

",Dave Täht,2011-01-23 18:43:56.16173,2011-01-24 14:22:55.881752,Dave Täht,In Progress,Normal
